연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 
2004,부산광역시,영도구,일반용,9827000 ,9979000 ,8978000 ,8908000 ,8493000 ,8679000 ,9797000 ,12280000 ,10761000 ,9006000 ,8853000 ,8975000 
2004,부산광역시,영도구,총계,36411000 ,37643000 ,33790000 ,33227000 ,31567000 ,32131000 ,33752000 ,38000000 ,33847000 ,31250000 ,32998000 ,34446000 
2004,부산광역시,중구,주택용,5169000 ,5501000 ,4845000 ,4754000 ,4465000 ,4462000 ,4426000 ,5685000 ,4895000 ,4420000 ,4639000 ,4754000 
2004,부산광역시,중구,일반용,24684000 ,24731000 ,22610000 ,21680000 ,21117000 ,23630000 ,27805000 ,33545000 ,29329000 ,23542000 ,21659000 ,22025000 
2004,부산광역시,중구,총계,34389000 ,34954000 ,31636000 ,30214000 ,28752000 ,30904000 ,34921000 ,42064000 ,37138000 ,30886000 ,29823000 ,30729000 
2004,부산광역시,해운대구,주택용,37585000 ,38795000 ,34735000 ,35648000 ,33687000 ,34070000 ,34652000 ,41232000 ,36860000 ,34392000 ,35846000 ,36639000 
2004,부산광역시,해운대구,일반용,42620000 ,42497000 ,39349000 ,39761000 ,39413000 ,42258000 ,48452000 ,58396000 ,49549000 ,41991000 ,41170000 ,42878000 
2004,부산광역시,해운대구,총계,107312000 ,108874000 ,101048000 ,101313000 ,96728000 ,100108000 ,106626000 ,121399000 ,106827000 ,97032000 ,98672000 ,102734000 
2005,서울특별시,강남구,주택용,68851000 ,65537000 ,62354000 ,62802000 ,60008000 ,63739000 ,71496000 ,81087000 ,67656000 ,63313000 ,64867000 ,70673000 
2005,서울특별시,강남구,일반용,259941000 ,243154000 ,235253000 ,223088000 ,215564000 ,253504000 ,290454000 ,314673000 ,276515000 ,224445000 ,224636000 ,267609000 
2005,서울특별시,강남구,총계,356691000 ,334088000 ,323187000 ,308222000 ,298784000 ,343177000 ,391671000 ,425726000 ,371390000 ,311709000 ,313062000 ,367258000 
2005,서울특별시,강동구,주택용,46330000 ,44996000 ,41411000 ,42238000 ,39443000 ,41239000 ,42371000 ,48337000 ,42525000 ,39789000 ,41155000 ,44450000 
2005,서울특별시,강동구,일반용,50340000 ,48906000 ,44767000 ,43983000 ,41315000 ,48700000 ,54260000 ,61259000 ,53932000 ,43925000 ,43671000 ,51448000 
2005,서울특별시,강동구,총계,113673000 ,109730000 ,102349000 ,102105000 ,95578000 ,105437000 ,112813000 ,125391000 ,111843000 ,98522000 ,100097000 ,113070000 
2005,서울특별시,강북구,주택용,34078000 ,33880000 ,30083000 ,31355000 ,28798000 ,30383000 ,30340000 ,34924000 ,31622000 ,29459000 ,30123000 ,31371000 
2005,서울특별시,강북구,일반용,31178000 ,30285000 ,27628000 ,27512000 ,25707000 ,28765000 ,32340000 ,37101000 ,32777000 ,27701000 ,26807000 ,30456000 
2005,서울특별시,강북구,총계,74450000 ,73056000 ,66079000 ,67052000 ,60724000 ,64973000 ,68414000 ,77930000 ,70511000 ,63170000 ,63735000 ,70235000 
2005,서울특별시,강서구,주택용,51148000 ,51368000 ,46679000 ,48885000 ,46082000 ,48189000 ,49055000 ,57152000 ,50623000 ,47957000 ,48252000 ,52030000 
2005,서울특별시,강서구,일반용,67668000 ,65930000 ,60199000 ,58586000 ,55285000 ,61911000 ,71527000 ,80880000 ,73058000 ,61003000 ,59753000 ,70409000 
2005,서울특별시,강서구,총계,153968000 ,149531000 ,140886000 ,141133000 ,135360000 ,145401000 ,157529000 ,171401000 ,162541000 ,144152000 ,140165000 ,157254000 
2005,서울특별시,관악구,주택용,52203000 ,51437000 ,46191000 ,48113000 ,44808000 ,47829000 ,48044000 ,54047000 ,48582000 ,46177000 ,47190000 ,50194000 
2005,서울특별시,관악구,일반용,56040000 ,54244000 ,49122000 ,49777000 ,46577000 ,53156000 ,60961000 ,69031000 ,61215000 ,51138000 ,49249000 ,55528000 
2005,서울특별시,관악구,총계,129442000 ,126905000 ,114677000 ,117471000 ,107761000 ,117559000 ,126703000 ,141648000 ,127927000 ,113575000 ,114416000 ,126645000 
2005,서울특별시,광진구,주택용,38521000 ,37976000 ,34812000 ,35326000 ,32862000 ,34585000 ,36129000 ,41657000 ,35806000 ,33523000 ,34699000 ,36900000 
2005,서울특별시,광진구,일반용,48107000 ,46507000 ,43256000 ,42659000 ,40977000 ,47373000 ,54541000 ,61150000 ,52681000 ,43725000 ,43299000 ,49930000 
2005,서울특별시,광진구,총계,144880000 ,140044000 ,130214000 ,127308000 ,121548000 ,134591000 ,149885000 ,165697000 ,145804000 ,125627000 ,127764000 ,142387000 
2005,서울특별시,구로구,주택용,42046000 ,42094000 ,37983000 ,38982000 ,36321000 ,37728000 ,38904000 ,43914000 ,39241000 ,37184000 ,38091000 ,40937000 
2005,서울특별시,구로구,일반용,51170000 ,49728000 ,45314000 ,42631000 ,40400000 ,49255000 ,56121000 ,60320000 ,52708000 ,44717000 ,46213000 ,59249000 
2005,서울특별시,구로구,총계,158839000 ,154802000 ,141130000 ,138220000 ,127768000 ,141484000 ,148562000 ,159529000 ,144766000 ,131726000 ,137162000 ,161573000 
2005,서울특별시,금천구,주택용,24816000 ,25030000 ,22436000 ,22793000 ,21075000 ,22453000 ,22539000 ,25245000 ,22730000 ,21617000 ,22146000 ,24090000 
2005,서울특별시,금천구,일반용,39974000 ,38421000 ,37251000 ,33655000 ,33278000 ,39076000 ,44688000 ,48140000 ,42608000 ,36391000 ,37570000 ,47542000 
2005,서울특별시,금천구,총계,108317000 ,102970000 ,99992000 ,95110000 ,89253000 ,99488000 ,106260000 ,112519000 ,102757000 ,91818000 ,96106000 ,113187000 
2005,서울특별시,노원구,주택용,60338000 ,59272000 ,54613000 ,56332000 ,53481000 ,55719000 ,57632000 ,63079000 ,57253000 ,53982000 ,55429000 ,57980000 
2005,서울특별시,노원구,일반용,49954000 ,48745000 ,44189000 ,43816000 ,41377000 ,47952000 ,54425000 ,60045000 ,53960000 ,45126000 ,44282000 ,50825000 
2005,서울특별시,노원구,총계,124975000 ,122041000 ,112638000 ,113790000 ,105982000 ,117099000 ,126284000 ,136892000 ,125544000 ,110815000 ,112907000 ,124751000 
2005,서울특별시,도봉구,주택용,37604000 ,37271000 ,33492000 ,34928000 ,32846000 ,35285000 ,35511000 ,39676000 ,35789000 ,33626000 ,34698000 ,36540000 
2005,서울특별시,도봉구,일반용,28122000 ,27695000 ,24612000 ,24457000 ,22763000 ,26624000 ,29844000 ,33499000 ,29976000 ,24581000 ,24432000 ,28041000 
2005,서울특별시,도봉구,총계,94288000 ,93135000 ,83872000 ,86460000 ,80371000 ,87695000 ,93590000 ,104147000 ,94043000 ,84007000 ,84405000 ,91245000 
