ym,average,low,high,temp_range,high_deviation,low_deviation,climate_summary,energy,pop,month
2019-02-01,6.6,2.7,11.3,8.600000000000001,4.700000000000001,3.8999999999999995,-12.980440964685457,420976468,3436230.0,2
2019-03-01,10.5,6.7,15.1,8.399999999999999,4.6,3.8,-6.219951576631718,363540446,3434091.0,3
2019-04-01,13.4,9.9,17.3,7.4,3.9000000000000004,3.5,-1.3615102833006638,383248991,3431750.0,4
2019-05-01,19.3,15.7,23.6,7.900000000000002,4.300000000000001,3.6000000000000014,8.98015659482012,355929263,3429595.0,5
2019-06-01,21.1,18.3,24.7,6.399999999999999,3.599999999999998,2.8000000000000007,12.262828050569947,359253568,3427632.0,6
2019-07-01,24.3,22.4,27.1,4.700000000000003,2.8000000000000007,1.9000000000000021,17.9818591185517,370725062,3425317.0,7
2019-08-01,27.0,24.6,30.1,5.5,3.1000000000000014,2.3999999999999986,22.476639557611936,505957507,3423209.0,8
2019-09-01,23.1,20.7,26.6,5.900000000000002,3.5,2.400000000000002,15.933087167267328,461557223,3421502.0,9
2019-10-01,18.6,15.5,22.8,7.300000000000001,4.199999999999999,3.1000000000000014,8.045725006386032,374665619,3418871.0,10
2019-11-01,13.0,9.4,17.9,8.499999999999998,4.899999999999999,3.5999999999999996,-1.61351535034472,374495176,3416721.0,11
2019-12-01,7.0,3.4,11.7,8.299999999999999,4.699999999999999,3.6,-12.09247184228575,391108531,3413841.0,12
2020-01-01,6.4,3.1,10.9,7.800000000000001,4.5,3.3000000000000003,-13.035199660183466,424301812,3411819.0,1
2020-02-01,7.1,3.1,11.8,8.700000000000001,4.700000000000001,3.9999999999999996,-12.180984462277165,428231976,3410925.0,2
2020-03-01,10.4,6.4,15.0,8.6,4.6,4.0,-6.523655673176737,399839445,3409932.0,3
2020-04-01,12.6,8.9,17.5,8.6,4.9,3.6999999999999993,-2.3707455672322837,406705461,3408347.0,4
2020-05-01,17.9,15.0,21.8,6.800000000000001,3.900000000000002,2.8999999999999986,6.814140029715016,377095416,3406942.0,5
2020-06-01,22.4,19.5,26.6,7.100000000000001,4.200000000000003,2.8999999999999986,14.749141171147318,383410345,3404423.0,6
2020-07-01,22.1,20.3,24.8,4.5,2.6999999999999993,1.8000000000000007,14.191471853600238,392057995,3402776.0,7
2020-08-01,27.2,24.8,30.4,5.599999999999998,3.1999999999999993,2.3999999999999986,22.873092454662025,490479776,3401072.0,8
2020-09-01,21.9,19.2,25.6,6.400000000000002,3.700000000000003,2.6999999999999993,13.762441546573346,530814021,3399749.0,9
2020-10-01,17.3,13.8,22.2,8.399999999999999,4.899999999999999,3.5,5.889357316824853,377866875,3397598.0,10
2020-11-01,12.4,8.5,17.2,8.7,4.799999999999999,3.9000000000000004,-2.8979373697945228,388320023,3395514.0,11
2020-12-01,4.3,0.5,9.3,8.8,5.000000000000001,3.8,-16.74170336073239,410999941,3391946.0,12
2021-01-01,3.3,-0.8,7.9,8.700000000000001,4.6000000000000005,4.1,-18.86955368926673,461241639,3389388.0,1
2021-02-01,7.2,3.2,11.9,8.7,4.7,4.0,-12.008019271244294,445134316,3387761.0,2
2021-03-01,11.4,7.7,15.9,8.2,4.5,3.7,-4.648417919564146,383660829,3372399.0,3
2021-04-01,14.7,10.8,19.7,8.899999999999999,5.0,3.8999999999999986,1.181307053930233,398811878,3369704.0,4
2021-05-01,17.7,14.7,21.5,6.800000000000001,3.8000000000000007,3.0,6.35231767990885,374807474,3367334.0,5
2021-06-01,21.9,19.3,25.4,6.099999999999998,3.5,2.599999999999998,13.726765969360716,389611098,3364358.0,6
2021-07-01,26.3,24.0,29.5,5.5,3.1999999999999993,2.3000000000000007,21.38177518812226,435379029,3361781.0,7
2021-08-01,26.2,23.8,29.4,5.599999999999998,3.1999999999999993,2.3999999999999986,21.143440544333313,577673685,3359527.0,8
2021-09-01,22.9,20.5,26.4,5.899999999999999,3.5,2.3999999999999986,15.587156785201582,481606007,3358763.0,9
2021-10-01,18.7,15.2,23.3,8.100000000000001,4.600000000000001,3.5,8.159302446332017,399430625,3356311.0,10
2021-11-01,12.5,8.6,17.4,8.799999999999999,4.899999999999999,3.9000000000000004,-2.6744496637773025,396662875,3353627.0,11
2021-12-01,6.0,1.9,10.8,8.9,4.800000000000001,4.1,-14.09844850141048,408030555,3350380.0,12
2022-01-01,4.0,0.0,9.2,9.2,5.199999999999999,4.0,-17.290292809374453,450660091,3348874.0,1
2022-02-01,3.6,-0.5,8.8,9.3,5.200000000000001,4.1,-18.047523026262013,452812046,3347396.0,2
2022-03-01,10.5,6.8,14.8,8.0,4.300000000000001,3.7,-6.306149668828699,399985188,3343504.0,3
2022-04-01,14.9,11.4,19.1,7.700000000000001,4.200000000000001,3.5,1.384535127145469,409111850,3340214.0,4
2022-05-01,19.0,15.3,23.4,8.099999999999998,4.399999999999999,3.6999999999999993,8.446414083949787,377303122,3338167.0,5
2022-06-01,21.7,19.4,24.9,5.5,3.1999999999999993,2.3000000000000007,13.425376400610137,386864937,3336737.0,6
2022-07-01,26.2,23.7,29.7,6.0,3.5,2.5,21.229638636530286,476193673,3334595.0,7
2022-08-01,26.4,24.0,29.7,5.699999999999999,3.3000000000000007,2.3999999999999986,21.539893441383402,581878677,3331444.0,8
2022-09-01,22.9,20.2,26.9,6.699999999999999,4.0,2.6999999999999993,15.643661001855119,491560605,3323826.0,9
2022-10-01,17.6,14.0,22.7,8.7,5.099999999999998,3.6000000000000014,6.443928467136097,392317896,3322286.0,10
2022-11-01,14.4,10.4,19.8,9.4,5.4,4.0,0.79913208801295,390415366,3320276.0,11
2022-12-01,3.3,-0.3,8.1,8.4,4.8,3.5999999999999996,-18.44166139551767,409442617,3317812.0,12
2023-01-01,3.8,-0.2,8.9,9.1,5.1000000000000005,4.0,-17.686745706424546,455234652,3316107.0,1
2023-02-01,6.8,2.9,11.8,8.9,5.000000000000001,3.9,-12.482943037666661,449022726,3315516.0,2
2023-03-01,12.3,8.5,17.0,8.5,4.699999999999999,3.8000000000000007,-3.0560556230556735,381679164,3313539.0,3
2023-04-01,14.6,11.0,19.0,8.0,4.4,3.5999999999999996,0.90131513125948,397397758,3311402.0,4
2023-05-01,17.9,14.9,21.6,6.700000000000001,3.700000000000003,2.9999999999999982,6.647725546990248,380056494,3309261.0,5
2023-06-01,22.5,19.9,26.0,6.100000000000001,3.5,2.6000000000000014,14.764557115557945,397485280,3306993.0,6
2023-07-01,25.5,23.3,28.5,5.199999999999999,3.0,2.1999999999999993,19.962378082646648,449167246,3305052.0,7
2023-08-01,27.8,25.5,31.0,5.5,3.1999999999999993,2.3000000000000007,23.97625305361534,605983897,3302740.0,8
2023-09-01,24.5,21.9,28.2,6.300000000000001,3.6999999999999993,2.6000000000000014,18.324905966184094,556022160,3300836.0,9
2023-10-01,18.3,14.9,23.3,8.4,5.0,3.4000000000000004,7.734901194893997,413041954,3298213.0,10
2023-11-01,11.8,7.9,16.7,8.799999999999999,4.899999999999999,3.9000000000000004,-3.885206001007404,392909079,3295496.0,11
2023-12-01,6.4,2.7,10.8,8.100000000000001,4.4,3.7,-13.347199986192106,415166775,3293362.0,12
